name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ing,0.99997103,9.53E-10,2.85E-05,1.07E-07,2.83E-14,4.48E-14,6.36E-15,4.35E-16,9.18E-15,1.42E-18,9.74E-09,3.38E-07,2.59E-09,5.46E-14,2.61E-19,2.67E-18,8.06E-22,1.19E-09,3.26E-15,6.38E-27,1.69E-18,2.99E-23,1.10E-14,2.16E-12
ardper,1.54E-05,3.00E-05,7.46E-05,2.26E-05,0.597148,0.005896106,0.000198116,0.000399752,0.05976241,0.007762288,2.79E-07,0.007415906,6.20E-05,0.04520985,0.003890283,0.23139517,0.000963061,0.008661655,5.46E-06,0.000575797,0.001415761,0.02643465,0.000571098,0.002089699
hcarpe,2.73E-06,5.28E-06,1.67E-05,2.54E-06,0.076487646,0.00078885,7.13E-05,0.00044454,0.000780337,0.8152818,1.43E-08,0.023548651,1.68E-05,0.011338915,0.011564635,0.03650018,0.003504707,0.001010281,6.14E-07,0.001991084,0.016119359,0.00014226,1.91E-05,0.000361588
Pink,0.006582583,0.003981933,0.9760035,0.000693524,3.21E-05,3.71E-08,1.14E-05,3.94E-05,8.97E-08,3.89E-06,1.59E-07,0.006282757,0.005427043,1.43E-05,6.94E-06,1.33E-07,0.000330479,1.31E-07,4.73E-09,7.04E-08,4.85E-07,7.57E-11,2.06E-06,0.000587061
simm,3.26E-05,2.05E-05,0.000186391,0.000919448,0.022056978,0.010168576,0.002698629,7.73E-05,0.3041738,0.000141282,0.000108164,0.000499947,0.000238171,0.001006752,2.64E-07,0.028414216,2.93E-06,0.06430175,0.003732726,1.70E-08,0.013159325,0.002291458,0.44610968,0.09965912
kbartl,0.000209648,8.77E-06,0.000461197,3.21E-07,3.30E-05,3.90E-05,2.16E-05,1.98E-07,6.65E-06,5.96E-08,2.35E-06,0.007635131,0.9228061,0.000409175,0.013841803,4.21E-08,0.025307283,4.96E-06,1.12E-07,0.028437857,0.00033604,1.76E-08,2.19E-07,0.000438444
kouri,1.07E-05,8.40E-05,9.13E-05,1.36E-06,0.08794015,0.00354301,0.000965757,7.42E-05,0.001205699,0.003437413,4.07E-06,0.055154976,0.000258884,0.6354843,0.12353109,0.000886319,0.01425509,0.001459685,1.08E-05,0.059129708,0.011513538,2.56E-05,1.64E-05,0.000916054
dfhodd,2.22E-05,7.78E-06,2.62E-06,5.13E-05,0.13165823,0.007050887,0.001650508,6.52E-07,0.7467793,1.49E-06,1.20E-06,6.62E-05,1.70E-06,0.000403975,4.47E-07,0.023724874,3.20E-08,0.08145433,0.000165808,2.95E-10,3.58E-05,0.003505214,0.003189688,0.000225691
dakram,6.71E-13,4.23E-08,2.23E-08,3.24E-06,0.000520866,6.01E-11,1.12E-11,0.9992604,4.41E-08,0.000188415,1.92E-13,6.81E-09,3.01E-13,1.11E-05,1.67E-10,1.55E-05,4.73E-14,3.12E-07,3.99E-12,5.56E-13,5.76E-08,3.61E-09,1.31E-08,1.71E-09
pajaco,5.26E-09,2.47E-09,6.27E-08,1.50E-12,1.65E-07,6.02E-08,7.16E-10,5.63E-12,8.12E-10,6.01E-09,2.22E-13,0.001631333,0.000118277,4.32E-05,0.014205155,3.65E-09,0.90744406,1.29E-09,1.09E-12,0.076557,5.14E-07,9.68E-11,1.08E-13,7.17E-08
jbierl,5.11E-05,5.28E-06,2.44E-06,2.46E-06,1.28E-05,3.17E-06,0.018713498,1.73E-06,0.000235366,9.08E-07,0.96410906,0.000220052,0.000173475,0.000461774,3.67E-09,1.48E-08,1.01E-07,7.49E-05,0.015623489,1.19E-12,8.49E-07,1.17E-10,0.000187893,0.000119762
pjrand,4.20E-05,2.39E-06,2.22E-06,8.94E-06,0.002762351,0.029963834,0.000714653,7.61E-08,0.05158741,6.77E-08,1.54E-06,0.000149615,2.85E-06,0.000144555,3.29E-07,0.004453432,3.65E-09,0.90897816,9.05E-05,1.02E-10,0.00010157,0.000106934,0.000684044,0.000202532
boylee,3.52E-06,7.37E-10,2.88E-07,1.65E-08,0.001118112,0.84438664,4.22E-08,5.43E-12,0.009737396,8.60E-10,1.38E-11,2.98E-06,1.28E-08,2.75E-08,4.97E-07,0.10252057,1.14E-09,0.011383618,3.25E-07,1.91E-09,0.005796263,0.025027068,1.62E-05,6.50E-06
rjdunc,6.47E-10,1.13E-10,1.02E-07,2.36E-12,5.54E-06,2.90E-06,3.14E-12,1.01E-10,1.78E-09,7.24E-08,6.78E-16,3.43E-05,1.77E-06,7.39E-07,0.002368819,2.62E-05,0.013395307,1.87E-08,2.32E-14,0.9841513,1.28E-05,1.11E-07,3.89E-12,1.04E-08
lidov,3.22E-09,1.91E-08,1.17E-07,6.86E-11,0.001074669,8.53E-06,2.48E-08,4.07E-08,5.82E-08,0.000869601,2.02E-12,0.012141941,1.29E-06,0.000670089,0.87561667,0.001404246,0.016637186,3.65E-06,4.20E-11,0.0909482,0.000623497,5.59E-08,8.00E-11,1.13E-07
mkosto,2.84E-07,5.57E-09,4.85E-06,2.06E-08,0.008726054,0.005878602,2.84E-09,7.94E-09,0.001130589,5.87E-07,7.19E-13,1.06E-05,1.10E-08,4.92E-07,1.18E-05,0.75446147,1.93E-07,8.24E-05,5.54E-09,3.45E-05,0.010275549,0.21937875,1.50E-06,1.62E-06
rhaitk,6.39E-05,1.11E-05,7.48E-07,2.75E-05,0.000126453,5.62E-05,0.32167754,6.97E-07,0.007095202,2.91E-06,0.15130018,0.000322176,2.66E-05,0.000953079,3.80E-09,1.45E-06,8.52E-08,0.023215692,0.4922757,8.74E-14,3.26E-06,5.67E-09,0.002255976,0.000583486
sherbe,1.61E-07,8.25E-10,7.05E-07,4.99E-08,0.001875993,0.012916868,3.16E-09,1.53E-09,0.006399688,8.15E-08,2.05E-12,7.82E-07,7.38E-09,3.16E-08,6.12E-08,0.39092642,7.21E-09,0.000279605,2.49E-08,1.38E-07,0.008262154,0.57929903,3.15E-05,6.63E-06
cladam,0.000263609,0.000193007,1.30E-05,6.04E-05,0.004242106,0.000787409,0.7458231,3.20E-05,0.038581204,0.00025359,0.02907956,0.013846672,0.00040664,0.028149648,8.82E-06,0.000102179,1.94E-05,0.08510703,0.04851352,2.69E-09,0.000393955,6.16E-07,0.001916338,0.002206112
Tin,0.000104048,0.001582991,0.000504224,0.9976115,5.60E-05,4.69E-10,9.22E-11,0.000128093,3.18E-09,2.53E-08,1.30E-08,5.64E-07,6.75E-07,1.03E-05,1.67E-11,7.28E-10,3.10E-12,2.08E-07,6.82E-10,5.88E-14,8.79E-11,1.03E-13,1.43E-06,1.23E-07
jserai,1.40E-06,1.91E-06,1.40E-05,9.11E-09,0.000296948,0.000264983,0.003502891,1.21E-06,1.01E-05,0.000139149,1.84E-06,0.86634934,3.11E-05,0.002644938,0.06909835,0.037965406,0.00012542,0.001584169,1.55E-07,0.000118711,0.017816763,2.55E-05,5.58E-08,5.72E-06
sapere,5.77E-09,2.84E-10,3.36E-07,1.90E-10,8.74E-05,0.001343796,4.20E-09,5.66E-10,1.29E-05,7.21E-08,1.90E-12,5.04E-05,3.22E-10,1.58E-06,2.10E-05,0.05799662,5.16E-08,1.57E-05,3.47E-09,3.33E-07,0.9398448,0.000624687,2.61E-08,2.10E-07
Junior,0.05925557,0.7175287,0.09260815,0.12999108,1.07E-05,4.20E-09,4.27E-09,0.000169181,4.05E-08,1.71E-08,4.93E-07,4.90E-05,0.00023556,0.000122453,3.75E-09,1.97E-09,4.64E-09,6.94E-07,8.87E-10,1.33E-09,7.78E-09,3.33E-12,5.46E-06,2.29E-05
tjdyke,7.53E-05,1.76E-06,0.000143725,0.000127203,0.049335945,0.008544012,0.000160277,8.60E-05,0.04520713,4.06E-05,2.84E-06,7.28E-05,0.000829031,0.000415972,1.80E-07,0.000953934,2.25E-05,0.002039742,0.000204786,3.36E-07,8.53E-05,0.00264406,0.07622696,0.8127795
